Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-06 00:00:00-04:00,95.91211955080745,98.33575762876629,95.69606295878415,97.29302978515625,1065200,0.0,0.0
2023-06-07 00:00:00-04:00,98.03514450634273,100.70301964772113,97.7157468648078,98.645751953125,1082700,0.0,0.0
2023-06-08 00:00:00-04:00,99.29394372410222,99.59454951981633,97.72515745168816,98.880615234375,829900,0.0,0.0
2023-06-09 00:00:00-04:00,99.51000192733966,99.81060770622165,97.71575603335147,98.15727233886719,1091600,0.0,0.0
2023-06-12 00:00:00-04:00,98.61757392640708,100.80635624763707,98.20423832052367,100.62787628173828,1456300,0.0,0.0
2023-06-13 00:00:00-04:00,102.39394077225055,103.66212117410177,101.83970178071093,103.051513671875,1640600,0.0,0.0
2023-06-14 00:00:00-04:00,103.06090453782703,103.727873350856,101.85848148521102,103.22999572753906,1385900,0.0,0.0
2023-06-15 00:00:00-04:00,101.67999433903874,103.90636047551322,101.26666589412444,102.92938995361328,1999500,0.0,0.0
2023-06-16 00:00:00-04:00,104.33848432678084,104.33848432678084,102.30939714910411,102.63818359375,3653000,0.0,0.0
2023-06-20 00:00:00-04:00,101.72697219029862,102.8260613969544,99.84818428134568,100.7969741821289,1868800,0.0,0.0
2023-06-21 00:00:00-04:00,100.27090069343349,100.27090069343349,97.92241599462808,97.94120788574219,1627000,0.0,0.0
2023-06-22 00:00:00-04:00,97.15212248828767,98.02575916554797,96.67303672466642,97.45272827148438,1275400,0.0,0.0
2023-06-23 00:00:00-04:00,95.81819037067477,96.26910265531424,95.37667403302984,95.83697509765625,1631600,0.0,0.0
2023-06-26 00:00:00-04:00,96.74818003905511,99.15303340312664,96.58848478906407,98.26060485839844,1272000,0.0,0.0
2023-06-27 00:00:00-04:00,98.2136472785998,101.71758294614683,97.62182446139997,101.5672836303711,1595400,0.0,0.0
2023-06-28 00:00:00-04:00,100.26152127105513,101.85848814846543,99.78242834102916,101.595458984375,1534000,0.0,0.0
2023-06-29 00:00:00-04:00,102.12151474893837,103.32393785002787,101.31363538408004,103.2206039428711,1505800,0.0,0.0
2023-06-30 00:00:00-04:00,104.16938989186089,104.83635870654555,103.20181531327601,103.98151397705078,1638000,0.0,0.0
2023-07-03 00:00:00-04:00,104.3572745755272,105.6066702983173,103.36151924275089,104.93030548095703,970100,0.0,0.0
2023-07-05 00:00:00-04:00,103.57757942733842,103.93454654991693,100.78757823582215,100.7969741821289,1778900,0.0,0.0
2023-07-06 00:00:00-04:00,99.53818862129224,102.29061336229782,99.35970146562396,102.10273742675781,2005600,0.0,0.0
2023-07-07 00:00:00-04:00,102.44091707730776,103.16424729330723,101.341820666363,101.77394104003906,1748900,0.0,0.0
2023-07-10 00:00:00-04:00,102.24363987399417,105.71000603944357,102.05576394014638,105.42819213867188,1466200,0.0,0.0
2023-07-11 00:00:00-04:00,105.74757874777967,106.31121369548045,103.0515154780515,104.45121765136719,1191800,0.0,0.0
2023-07-12 00:00:00-04:00,106.12333471149408,106.3769679222005,104.50757598549166,106.01060485839844,1331600,0.0,0.0
2023-07-13 00:00:00-04:00,107.02514649926852,107.5324200614492,105.76635495600387,107.32575225830078,1829900,0.0,0.0
2023-07-14 00:00:00-04:00,106.58363479940103,106.94999785998355,104.42303305327418,104.9772720336914,1586800,0.0,0.0
2023-07-17 00:00:00-04:00,104.74242872869402,108.67849179678414,104.40424632266681,107.95515441894531,1369800,0.0,0.0
2023-07-18 00:00:00-04:00,107.38211799977218,108.66909026585131,106.63060715489216,108.06787872314453,957800,0.0,0.0
2023-07-19 00:00:00-04:00,108.41545984986763,108.6127317204917,107.12848755064539,107.56060791015625,1057700,0.0,0.0
2023-07-20 00:00:00-04:00,105.09940760090275,106.34880345345488,103.97213756622912,104.7236557006836,1884000,0.0,0.0
2023-07-21 00:00:00-04:00,106.02940229373337,107.48545867888464,104.86454858520351,106.13273620605469,1587300,0.0,0.0
2023-07-24 00:00:00-04:00,106.15152002426444,107.68272963564226,105.21212604174883,105.76636505126953,1280000,0.0,0.0
2023-07-25 00:00:00-04:00,106.32060889717678,106.78090993175726,105.80393935131602,106.03878784179688,1775400,0.0,0.0
2023-07-26 00:00:00-04:00,104.87394569054769,107.1472774527183,104.50758260354529,105.87909698486328,1977400,0.0,0.0
2023-07-27 00:00:00-04:00,108.13363906620346,108.50939808276132,104.81757954156906,105.67242431640625,2340100,0.0,0.0
2023-07-28 00:00:00-04:00,107.61697807570367,107.85182658384166,106.53668067187515,107.24122619628906,1742000,0.0,0.0
2023-07-31 00:00:00-04:00,107.51363025785687,108.1618143499536,107.1003018105403,107.43848419189453,1102000,0.0,0.0
2023-08-01 00:00:00-04:00,106.46152331149636,107.56061256698993,106.09516022633183,107.01576232910156,1030700,0.0,0.0
2023-08-02 00:00:00-04:00,105.78515326389495,106.35818414665279,103.42727244305571,104.03787994384766,2765800,0.0,0.0
2023-08-03 00:00:00-04:00,103.32393808654493,103.53060590133158,100.63727082833249,102.4690933227539,1983200,0.0,0.0
2023-08-04 00:00:00-04:00,101.5954614691263,104.48879667889862,101.5672807961427,102.67576599121094,1774200,0.0,0.0
2023-08-07 00:00:00-04:00,103.54939524231945,104.1693915043957,102.3939375640313,103.49302673339844,1901800,0.0,0.0
2023-08-08 00:00:00-04:00,100.12999723957947,102.47848210400724,98.63636430596678,102.16848754882812,2323700,0.0,0.0
2023-08-09 00:00:00-04:00,101.92424008470464,102.51605567281595,100.60908716633935,100.72181701660156,1396600,0.0,0.0
2023-08-10 00:00:00-04:00,101.99940496205845,102.82606912399629,99.87637245864069,101.398193359375,1437300,0.0,0.0
2023-08-11 00:00:00-04:00,100.29908430290004,101.81150906662094,99.81060262471381,100.7406005859375,1914400,0.0,0.0
2023-08-14 00:00:00-04:00,100.04546314272723,102.40334413998931,99.66030815431458,102.2342529296875,1350600,0.0,0.0
2023-08-15 00:00:00-04:00,101.1915273929955,101.60486306508967,98.78668093791903,99.10607147216797,1248800,0.0,0.0
2023-08-16 00:00:00-04:00,99.2845486918745,99.70727310181778,97.19909297987265,97.27424621582031,1299900,0.0,0.0
2023-08-17 00:00:00-04:00,98.21363736824266,98.32636005194816,96.89848444462592,97.54666137695312,1646000,0.0,0.0
2023-08-18 00:00:00-04:00,96.63545258251979,98.5893864376749,96.31605493129784,98.35453796386719,1374100,0.0,0.0
2023-08-21 00:00:00-04:00,98.33575650585915,101.0693891049404,98.10090802425049,100.55272674560547,1713400,0.0,0.0
2023-08-22 00:00:00-04:00,101.8115151896561,101.8115151896561,98.34515633771366,98.88999938964844,1301400,0.0,0.0
2023-08-23 00:00:00-04:00,98.64576818599804,101.37940106120699,98.49546170242255,100.7312240600586,1101300,0.0,0.0
2023-08-24 00:00:00-04:00,101.78333886957103,101.88667278334073,97.54666990603546,97.91304016113281,1743300,0.0,0.0
2023-08-25 00:00:00-04:00,98.40151216424763,99.53817793636664,97.20848505091826,99.00272369384766,1267400,0.0,0.0
2023-08-28 00:00:00-04:00,99.80639078825426,100.58169594059142,99.29582292497612,100.41150665283203,955000,0.68,0.0
2023-08-29 00:00:00-04:00,99.63620727730546,102.15122609628465,99.63620727730546,101.9053955078125,1274200,0.0,0.0
2023-08-30 00:00:00-04:00,101.64066474930856,102.41596999652867,100.49661720240756,102.0945053100586,1283000,0.0,0.0
2023-08-31 00:00:00-04:00,101.70684534615533,103.50328637895497,101.70684534615533,102.81307220458984,1784300,0.0,0.0
2023-09-01 00:00:00-04:00,103.69237103896043,103.99492896402715,102.9359798330686,103.70182800292969,933400,0.0,0.0
2023-09-05 00:00:00-04:00,103.46546734725132,104.06112630796223,102.7468894802066,103.18181610107422,1111800,0.0,0.0
2023-09-06 00:00:00-04:00,103.17236484581798,103.17236484581798,99.55111909501449,100.39260864257812,1777200,0.0,0.0
2023-09-07 00:00:00-04:00,96.44043073586745,96.56334241345675,92.12897849365878,93.01773834228516,3884000,0.0,0.0
2023-09-08 00:00:00-04:00,93.13120900726129,94.03888286901562,92.82865105334318,93.96324157714844,2062400,0.0,0.0
2023-09-11 00:00:00-04:00,95.43822793475958,95.45713465293615,92.02499182655413,92.87593841552734,1574300,0.0,0.0
2023-09-12 00:00:00-04:00,92.11953025219867,93.42431007705756,91.20239942478058,91.62787628173828,2168500,0.0,0.0
2023-09-13 00:00:00-04:00,91.56167748322511,92.52608584504202,90.57836962024915,91.3725814819336,1861400,0.0,0.0
2023-09-14 00:00:00-04:00,92.52608425364656,94.13342187762936,92.1573420079852,93.83086395263672,1775300,0.0,0.0
2023-09-15 00:00:00-04:00,93.49048944352934,94.31307221916101,92.53554523436469,92.85700988769531,2874700,0.0,0.0
2023-09-18 00:00:00-04:00,92.28972078046435,93.8025105714947,92.28972078046435,93.13121032714844,1330700,0.0,0.0
2023-09-19 00:00:00-04:00,93.13120250005791,93.23520746572066,92.22352870172398,92.48826599121094,1347400,0.0,0.0
2023-09-20 00:00:00-04:00,91.7129625889601,92.74354808750718,91.06056910344482,91.07948303222656,1230900,0.0,0.0
2023-09-21 00:00:00-04:00,90.69182509828916,92.26134933369812,90.54054973869378,91.0322036743164,1797500,0.0,0.0
2023-09-22 00:00:00-04:00,91.58059353819594,92.17625244829185,91.00384134324823,91.1645736694336,1116600,0.0,0.0
2023-09-25 00:00:00-04:00,90.56891618208006,92.98937971788345,90.53109553763935,92.4315414428711,1045000,0.0,0.0
2023-09-26 00:00:00-04:00,90.56891766498332,92.01552307416233,90.44600597870128,90.70128631591797,1339900,0.0,0.0
2023-09-27 00:00:00-04:00,91.580591518434,91.66568255504954,89.50050664759789,91.05111694335938,1301100,0.0,0.0
2023-09-28 00:00:00-04:00,90.95656306243069,93.60395040371337,90.60673473314954,92.55445098876953,1088800,0.0,0.0
2023-09-29 00:00:00-04:00,93.45267459359489,95.23020890214782,92.9610206187392,93.21630096435547,2476500,0.0,0.0
2023-10-02 00:00:00-04:00,93.11229569170418,93.37703298092535,91.66568313808827,92.89482879638672,1110500,0.0,0.0
2023-10-03 00:00:00-04:00,92.26135021161627,93.36757698745612,90.94711350249712,91.74132537841797,1326100,0.0,0.0
2023-10-04 00:00:00-04:00,91.87368527355979,92.54498540385251,91.26856945995651,92.25188446044922,1429200,0.0,0.0
2023-10-05 00:00:00-04:00,92.31808606290495,92.58282337923248,90.59728629322515,91.48605346679688,1136400,0.0,0.0
2023-10-06 00:00:00-04:00,91.2874917957552,93.5944933425475,90.52163638803077,92.96101379394531,1462800,0.0,0.0
2023-10-09 00:00:00-04:00,92.12898578590456,93.27303325779756,91.39150123489507,92.86647033691406,907000,0.0,0.0
2023-10-10 00:00:00-04:00,90.22852905492869,93.92540833308304,90.08670345508831,92.94210052490234,1814300,0.0,0.0
2023-10-11 00:00:00-04:00,92.80027807062663,93.42430063210666,91.08892827803083,92.54499053955078,1390200,0.0,0.0
2023-10-12 00:00:00-04:00,92.76245690696344,93.04610811466412,90.70127880984803,91.66567993164062,1272100,0.0,0.0
2023-10-13 00:00:00-04:00,91.79805046602534,91.84532807280107,89.11284975552468,89.44377136230469,1376300,0.0,0.0
2023-10-16 00:00:00-04:00,89.88815290117233,91.17402587057789,89.56668826559587,90.61618041992188,1549300,0.0,0.0
2023-10-17 00:00:00-04:00,89.34922969915972,90.92820377317318,88.91430309746713,90.44600677490234,1095600,0.0,0.0
2023-10-18 00:00:00-04:00,89.18850815785517,89.44378852820701,88.37538221739908,89.08450317382812,1482000,0.0,0.0
2023-10-19 00:00:00-04:00,89.96380383487339,90.29472546980128,88.15790586297305,88.47937774658203,1582700,0.0,0.0
2023-10-20 00:00:00-04:00,88.64956428670821,88.87648094165876,87.02331263020342,87.1651382446289,1144600,0.0,0.0
2023-10-23 00:00:00-04:00,86.77747121204841,87.27858206871177,85.44432791541094,85.5294189453125,1316700,0.0,0.0
2023-10-24 00:00:00-04:00,86.18182600597689,87.05167922369023,85.69016482132106,86.53165435791016,1167300,0.0,0.0
2023-10-25 00:00:00-04:00,85.50106723227995,85.59561523880544,83.27915661795384,83.74244689941406,1682100,0.0,0.0
2023-10-26 00:00:00-04:00,84.22464936446944,85.40651745541604,83.7046245190328,83.78026580810547,1494300,0.0,0.0
2023-10-27 00:00:00-04:00,84.48938854194161,84.66903480409742,83.00496247523715,83.42098236083984,1164500,0.0,0.0
2023-10-30 00:00:00-04:00,83.06168498978144,83.33587924260634,80.91541578808321,81.73799133300781,2213700,0.0,0.0
2023-10-31 00:00:00-04:00,81.70962621657364,82.39984031858368,80.77358875860384,82.0121841430664,1654100,0.0,0.0
2023-11-01 00:00:00-04:00,81.88928102245282,82.37148524784844,80.42376162981256,82.31475067138672,2139600,0.0,0.0
2023-11-02 00:00:00-04:00,84.06391921642825,85.41596942254233,81.94600634874553,84.62175750732422,3180200,0.0,0.0
2023-11-03 00:00:00-04:00,81.62454491529967,86.55057057566555,81.06669938875703,86.0872802734375,3278600,0.0,0.0
2023-11-06 00:00:00-05:00,86.2480097584297,86.83421173389328,83.98827847227997,85.0945053100586,2400200,0.0,0.0
2023-11-07 00:00:00-05:00,85.15123076437175,85.84144491038676,84.34756189715732,84.48938751220703,2462100,0.0,0.0
2023-11-08 00:00:00-05:00,84.80139893190805,85.33087351184496,82.9387737243513,83.10896301269531,2580600,0.0,0.0
2023-11-09 00:00:00-05:00,83.39260060621447,83.85589804159035,81.51106882840799,81.78526306152344,2310000,0.0,0.0
2023-11-10 00:00:00-05:00,82.68349377978086,85.33088134973592,82.30530173854511,85.12287139892578,2439100,0.0,0.0
2023-11-13 00:00:00-05:00,84.23410879642425,84.77304763284421,83.17515948190383,84.06392669677734,1991200,0.0,0.0
2023-11-14 00:00:00-05:00,86.27637944344448,88.26191659614504,85.45379657132449,87.78916931152344,2340900,0.0,0.0
2023-11-15 00:00:00-05:00,88.12008748282614,89.50996559881104,87.94989817855144,88.914306640625,1571200,0.0,0.0
2023-11-16 00:00:00-05:00,88.66847174211654,88.93320904402609,87.42987627380379,88.28082275390625,2099900,0.0,0.0
2023-11-17 00:00:00-05:00,88.91430690089852,89.0939531708118,88.06336037703412,89.06558227539062,1572200,0.0,0.0
2023-11-20 00:00:00-05:00,88.98938707491536,90.68460321602211,88.75129475698462,90.22746276855469,1640800,0.68,0.0
2023-11-21 00:00:00-05:00,89.34176957650682,89.71319305493924,88.85606642225014,89.21796417236328,1470200,0.0,0.0
2023-11-22 00:00:00-05:00,90.40842106823297,91.09412815052211,89.73223971375377,89.77985382080078,1410800,0.0,0.0
2023-11-24 00:00:00-05:00,89.84651293646021,90.56078988492435,89.60842062030551,90.37984466552734,807900,0.0,0.0
2023-11-27 00:00:00-05:00,89.70367144375845,90.78937192198833,89.1989168505816,90.0941390991211,1278500,0.0,0.0
2023-11-28 00:00:00-05:00,89.53224277754059,90.50365629742289,89.0655765741645,90.26556396484375,1781000,0.0,0.0
2023-11-29 00:00:00-05:00,91.59888649440593,93.4179082167005,91.17032318338411,91.42745971679688,2219000,0.0,0.0
2023-11-30 00:00:00-05:00,92.12268517517963,92.61791401193045,90.83698081311289,92.31315612792969,2559400,0.0,0.0
2023-12-01 00:00:00-05:00,92.11316890511738,93.85600663912408,91.27507918856675,93.51315307617188,1383000,0.0,0.0
2023-12-04 00:00:00-05:00,92.99886730371043,94.31313437431656,92.82744053223993,94.22742462158203,1686800,0.0,0.0
2023-12-05 00:00:00-05:00,93.50362412205202,94.43694929255761,92.52268484311345,94.32266235351562,1318600,0.0,0.0
2023-12-06 00:00:00-05:00,95.38930530301973,97.05595145095148,94.60835556119973,95.52263641357422,1774400,0.0,0.0
2023-12-07 00:00:00-05:00,96.55119142179474,97.95117537420695,95.56072653528543,97.4083251953125,1394700,0.0,0.0
2023-12-08 00:00:00-05:00,97.51309081589746,99.81782274899021,97.3511897807796,98.83688354492188,1734500,0.0,0.0
2023-12-11 00:00:00-05:00,99.54163707197411,102.24636969036364,99.47497151092232,101.60828399658203,1953400,0.0,0.0
2023-12-12 00:00:00-05:00,101.18924002875238,102.06541805739633,101.055908905524,101.5892333984375,1364200,0.0,0.0
2023-12-13 00:00:00-05:00,101.42732513444734,104.41776399844582,101.17018863396372,103.77967834472656,1892800,0.0,0.0
2023-12-14 00:00:00-05:00,104.75110059698456,108.3701069582407,104.64633938937968,108.00820922851562,3186800,0.0,0.0
2023-12-15 00:00:00-05:00,108.07487214275424,108.34153438612286,106.51297979473593,107.22725677490234,3770600,0.0,0.0
2023-12-18 00:00:00-05:00,106.7129697268637,106.88439647022734,105.31298586706063,105.9701156616211,1248900,0.0,0.0
2023-12-19 00:00:00-05:00,106.45583107853233,106.56059227482865,105.79869398649181,106.29393005371094,1724400,0.0,0.0
2023-12-20 00:00:00-05:00,105.71300086571381,106.68441443338503,104.30349099046354,104.35111236572266,2191400,0.0,0.0
2023-12-21 00:00:00-05:00,106.10347080332873,107.42726359399684,105.76061726240735,106.8367919921875,1129500,0.0,0.0
2023-12-22 00:00:00-05:00,107.13201949144734,108.08438878228144,106.60822074108923,107.46534729003906,814500,0.0,0.0
2023-12-26 00:00:00-05:00,107.85582168564243,109.6367548669847,107.37011131509435,109.0558090209961,1060700,0.0,0.0
2023-12-27 00:00:00-05:00,109.13199078170489,109.3986602798173,108.28438271563569,108.9605712890625,1140100,0.0,0.0
2023-12-28 00:00:00-05:00,109.12247898524623,109.39866696137312,108.45581609824987,108.49391174316406,1132500,0.0,0.0
2023-12-29 00:00:00-05:00,108.25582271533925,108.6939117462186,106.7986987664141,107.06536102294922,1150000,0.0,0.0
2024-01-02 00:00:00-05:00,105.71299470969913,105.75109035448764,102.68445997602446,103.91301727294922,2736000,0.0,0.0
2024-01-03 00:00:00-05:00,102.15113627622,102.37970288072916,99.97020964060803,100.19877624511719,2713000,0.0,0.0
