Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-06 00:00:00-04:00,113.27095957825135,117.81285367462462,112.85638790358807,116.43093872070312,2509700,0.0,0.0
2023-06-07 00:00:00-04:00,116.32038812811236,118.08923052462903,114.72657648121941,117.5180435180664,3203800,0.0,0.0
2023-06-08 00:00:00-04:00,116.98369331935405,119.2316032047148,116.13611359562002,118.71569061279297,2942400,0.0,0.0
2023-06-09 00:00:00-04:00,118.51301025152009,120.26343000587526,118.27348341849628,118.7801742553711,2365800,0.0,0.0
2023-06-12 00:00:00-04:00,118.39325579246544,120.0791937283916,115.80447068662609,117.3798599243164,2980200,0.0,0.0
2023-06-13 00:00:00-04:00,116.65203321632374,119.2131737385565,116.39406989158093,118.71569061279297,3344500,0.0,0.0
2023-06-14 00:00:00-04:00,119.30530540825312,120.07917428573462,116.18217867067938,116.55989837646484,2024700,0.0,0.0
2023-06-15 00:00:00-04:00,116.55069698407785,119.1026299059135,116.32958555386732,118.65119934082031,2076900,0.0,0.0
2023-06-16 00:00:00-04:00,119.19474920380918,119.19474920380918,117.34298160846772,118.35638427734375,3463900,0.0,0.0
2023-06-20 00:00:00-04:00,117.55488574152507,117.83127151655039,116.11769658047082,116.50463104248047,1808300,0.0,0.0
2023-06-21 00:00:00-04:00,116.4032956569327,116.81787433940374,115.40831525354126,116.68889617919922,2319300,0.0,0.0
2023-06-22 00:00:00-04:00,116.58755227525504,116.94684957380476,113.2985952147583,113.72238159179688,1688000,0.0,0.0
2023-06-23 00:00:00-04:00,112.63527801534438,113.72238467418092,112.17463971971505,113.34465789794922,2397700,0.0,0.0
2023-06-26 00:00:00-04:00,113.86056254928798,115.31618114823146,113.56575434192568,113.98954772949219,2031000,0.0,0.0
2023-06-27 00:00:00-04:00,113.71317070395608,114.97532217281936,112.9208722678496,114.24751281738281,1715700,0.0,0.0
2023-06-28 00:00:00-04:00,114.12773974181974,114.15538394328605,112.77346907883438,113.83293151855469,1501700,0.0,0.0
2023-06-29 00:00:00-04:00,114.92003145000021,116.54148009767907,114.69892705265647,115.7860336303711,2272100,0.0,0.0
2023-06-30 00:00:00-04:00,116.80865071135841,117.27850370420349,115.01215728167169,116.03477478027344,2257000,0.0,0.0
2023-07-03 00:00:00-04:00,116.4954142542817,118.22741862683189,116.18218360830771,117.49039459228516,1193700,0.0,0.0
2023-07-05 00:00:00-04:00,116.50462920034663,117.96024077662186,115.57413793650842,116.39407348632812,1854400,0.0,0.0
2023-07-06 00:00:00-04:00,115.00295591134021,115.00295591134021,112.05486667029294,114.12773895263672,2515100,0.0,0.0
2023-07-07 00:00:00-04:00,114.47781293497478,116.86391555185912,114.12772338772615,115.7215347290039,2194200,0.0,0.0
2023-07-10 00:00:00-04:00,114.99374362388392,116.8270820689879,114.93846927772259,115.4912338256836,1734400,0.0,0.0
2023-07-11 00:00:00-04:00,116.21904167628185,117.61937898164528,115.85052963946542,116.53227233886719,2265100,0.0,0.0
2023-07-12 00:00:00-04:00,118.33798667907546,120.18054003821268,116.97450112943253,117.21403503417969,2508100,0.0,0.0
2023-07-13 00:00:00-04:00,117.81284466295095,119.74752404469804,117.46276209843101,119.57247924804688,2563400,0.0,0.0
2023-07-14 00:00:00-04:00,121.21353103648468,121.5119096343777,117.13888900915896,117.28807830810547,2507200,1.55,0.0
2023-07-17 00:00:00-04:00,117.72631865994917,119.83357136991636,117.29741007539614,118.56549072265625,2647500,0.0,0.0
2023-07-18 00:00:00-04:00,116.56080365475597,123.37673889891197,115.9920318752388,121.53988647460938,4679300,0.0,0.0
2023-07-19 00:00:00-04:00,121.41867526615198,123.61916785600029,121.36273283015622,123.42335510253906,4648100,0.0,0.0
2023-07-20 00:00:00-04:00,123.3207706085389,125.0643902228545,122.27647402101542,124.93385314941406,3554400,0.0,0.0
2023-07-21 00:00:00-04:00,125.48397887912017,125.8569378995936,123.04106457182753,125.18560028076172,3581900,0.0,0.0
2023-07-24 00:00:00-04:00,124.82195317620105,127.68446400350612,124.41168974046589,126.4350357055664,2910100,0.0,0.0
2023-07-25 00:00:00-04:00,126.77070053502554,126.8732663907547,124.31845322007544,124.51425170898438,2509400,0.0,0.0
2023-07-26 00:00:00-04:00,125.97813412496232,127.76836272206398,124.30912359084539,126.81729888916016,2971400,0.0,0.0
2023-07-27 00:00:00-04:00,127.61918643620083,127.7776947199037,123.824278167612,124.12264251708984,2462800,0.0,0.0
2023-07-28 00:00:00-04:00,125.46531994418478,126.88258975557726,124.02941214199852,126.34178924560547,1736400,0.0,0.0
2023-07-31 00:00:00-04:00,126.91989443310976,127.9362341461868,126.00613481846186,127.63785552978516,2478300,0.0,0.0
2023-08-01 00:00:00-04:00,127.00381404868534,127.46068671254888,125.14830949577396,126.27651977539062,2442400,0.0,0.0
2023-08-02 00:00:00-04:00,125.05506896972656,125.52127488056207,123.75901710670284,125.05506896972656,2002400,0.0,0.0
2023-08-03 00:00:00-04:00,124.77535889000225,125.0644042831537,123.47929277784803,124.02942657470703,2173000,0.0,0.0
2023-08-04 00:00:00-04:00,123.8709114322802,124.6821051331196,121.87555077980326,122.57485961914062,2858600,0.0,0.0
2023-08-07 00:00:00-04:00,123.30214175812998,123.88955151841999,122.5748616911233,123.4513168334961,1698600,0.0,0.0
2023-08-08 00:00:00-04:00,120.35572173263569,121.35339500081193,116.80322779321358,121.26016235351562,2825700,0.0,0.0
2023-08-09 00:00:00-04:00,120.12261790369607,121.21353803874774,118.68670283020391,118.74264526367188,1729500,0.0,0.0
2023-08-10 00:00:00-04:00,119.38600138109915,121.03637426142528,118.64940231444233,119.43262481689453,1657700,0.0,0.0
2023-08-11 00:00:00-04:00,118.74264248827474,121.16691176963919,118.59346029793446,121.1575927734375,1203400,0.0,0.0
2023-08-14 00:00:00-04:00,120.1505881823381,120.61679409423178,117.9127983825009,118.67737579345703,1371400,0.0,0.0
2023-08-15 00:00:00-04:00,116.96172736893769,117.24144661415033,114.87312001325179,115.24608612060547,2081000,0.0,0.0
2023-08-16 00:00:00-04:00,114.66800896128147,115.3300205010317,113.8474820054036,114.43490600585938,1612400,0.0,0.0
2023-08-17 00:00:00-04:00,114.82650461115475,116.17849875813414,114.40691506938617,115.15284729003906,1511200,0.0,0.0
2023-08-18 00:00:00-04:00,113.81018947531165,115.42326512485869,113.81018947531165,114.87313842773438,1346100,0.0,0.0
2023-08-21 00:00:00-04:00,115.31135873669129,115.59108510554017,113.30667206323979,114.62137603759766,1191700,0.0,0.0
2023-08-22 00:00:00-04:00,114.58407524626458,115.10622353099339,110.77983373648841,110.97563934326172,1498100,0.0,0.0
2023-08-23 00:00:00-04:00,110.92903097263736,111.61901370027888,110.13648237975676,111.33929443359375,1670200,0.0,0.0
2023-08-24 00:00:00-04:00,111.23673186135305,113.23209256714034,109.68892484100608,109.7168960571289,3178300,0.0,0.0
