Date,Close
2023-06-06 00:00:00-04:00,1211.1167309920363
2023-06-07 00:00:00-04:00,1205.4688114777323
2023-06-08 00:00:00-04:00,1211.8339537185566
2023-06-09 00:00:00-04:00,1214.7419863684752
2023-06-12 00:00:00-04:00,1225.8332840226067
2023-06-13 00:00:00-04:00,1237.91355105802
2023-06-14 00:00:00-04:00,1228.339707467435
2023-06-15 00:00:00-04:00,1241.7524190356692
2023-06-16 00:00:00-04:00,1250.9381749881811
2023-06-20 00:00:00-04:00,1250.6995015632178
2023-06-21 00:00:00-04:00,1259.468471715576
2023-06-22 00:00:00-04:00,1266.9101169503074
2023-06-23 00:00:00-04:00,1286.4830477323133
2023-06-26 00:00:00-04:00,1283.7828007777598
2023-06-27 00:00:00-04:00,1321.9059431593257
2023-06-28 00:00:00-04:00,1317.9173247745282
2023-06-29 00:00:00-04:00,1313.4083420602446
2023-06-30 00:00:00-04:00,1325.0423119847892
2023-07-03 00:00:00-04:00,1311.9476753597921
2023-07-05 00:00:00-04:00,1300.561804435232
2023-07-06 00:00:00-04:00,1268.5074339496477
2023-07-07 00:00:00-04:00,1265.0258936673447
2023-07-10 00:00:00-04:00,1297.0086956138446
2023-07-11 00:00:00-04:00,1295.8447302416278
2023-07-12 00:00:00-04:00,1326.545961225699
2023-07-13 00:00:00-04:00,1323.5487192287133
2023-07-14 00:00:00-04:00,1339.8588738357848
2023-07-17 00:00:00-04:00,1340.6299345244377
2023-07-18 00:00:00-04:00,1351.8905393535026
2023-07-19 00:00:00-04:00,1347.902637156816
2023-07-20 00:00:00-04:00,1302.2457296265802
2023-07-21 00:00:00-04:00,1306.8441065782404
2023-07-24 00:00:00-04:00,1305.1970206402355
2023-07-25 00:00:00-04:00,1331.915644753371
2023-07-26 00:00:00-04:00,1335.4455246788084
2023-07-27 00:00:00-04:00,1318.5915216835863
2023-07-28 00:00:00-04:00,1327.588099788005
2023-07-31 00:00:00-04:00,1319.899125938617
2023-08-01 00:00:00-04:00,1323.714029200295
2023-08-02 00:00:00-04:00,1318.3823670406089
2023-08-03 00:00:00-04:00,1305.5804972652527
2023-08-04 00:00:00-04:00,1322.0402135340883
2023-08-07 00:00:00-04:00,1336.3381160290648
2023-08-08 00:00:00-04:00,1328.7585788405995
2023-08-09 00:00:00-04:00,1310.7344983376147
2023-08-10 00:00:00-04:00,1281.1693244611306
2023-08-11 00:00:00-04:00,1288.2322080322042
2023-08-14 00:00:00-04:00,1289.1079641492029
2023-08-15 00:00:00-04:00,1297.214192608363
2023-08-16 00:00:00-04:00,1286.2286178241807
2023-08-17 00:00:00-04:00,1257.4405369920198
2023-08-18 00:00:00-04:00,1268.8958515377606
2023-08-21 00:00:00-04:00,1254.294072914931
2023-08-22 00:00:00-04:00,1272.8160397494526
2023-08-23 00:00:00-04:00,1279.906251390981
2023-08-24 00:00:00-04:00,1266.4875226906968
2023-08-25 00:00:00-04:00,1267.3572351667015
2023-08-28 00:00:00-04:00,1279.1408096513185
2023-08-29 00:00:00-04:00,1310.790381886306
2023-08-30 00:00:00-04:00,1326.876362101895
2023-08-31 00:00:00-04:00,1328.6465821082688
2023-09-01 00:00:00-04:00,1355.265880502018
2023-09-05 00:00:00-04:00,1287.021906229255
2023-09-06 00:00:00-04:00,1314.8776290336293
2023-09-07 00:00:00-04:00,1333.080244998452
2023-09-08 00:00:00-04:00,1314.04084244396
2023-09-11 00:00:00-04:00,1323.7167991289355
2023-09-12 00:00:00-04:00,1285.2139423538615
2023-09-13 00:00:00-04:00,1270.889764965194
2023-09-14 00:00:00-04:00,1292.0356344347406
2023-09-15 00:00:00-04:00,1265.6330244915675
2023-09-18 00:00:00-04:00,1276.3614602117564
2023-09-19 00:00:00-04:00,1287.559580322282
2023-09-20 00:00:00-04:00,1277.2201749401067
2023-09-21 00:00:00-04:00,1226.9933729296918
2023-09-22 00:00:00-04:00,1241.6181840971926
2023-09-25 00:00:00-04:00,1241.6059179977146
2023-09-26 00:00:00-04:00,1226.4342728224933
2023-09-27 00:00:00-04:00,1236.0306032105182
2023-09-28 00:00:00-04:00,1261.168647463113
2023-09-29 00:00:00-04:00,1240.8256289689382
2023-10-02 00:00:00-04:00,1239.4954610684208
2023-10-03 00:00:00-04:00,1216.8247145226255
2023-10-04 00:00:00-04:00,1233.9886427565118
2023-10-05 00:00:00-04:00,1235.978847515045
2023-10-06 00:00:00-04:00,1255.3604065916247
2023-10-09 00:00:00-04:00,1279.2233419770735
2023-10-10 00:00:00-04:00,1270.0504582195663
2023-10-11 00:00:00-04:00,1284.0895945389839
2023-10-12 00:00:00-04:00,1224.7351327744964
2023-10-13 00:00:00-04:00,1232.5710228783503
2023-10-16 00:00:00-04:00,1229.8427220448189
2023-10-17 00:00:00-04:00,1215.2579289419882
2023-10-18 00:00:00-04:00,1195.1709985531843
2023-10-19 00:00:00-04:00,1158.2401011781144
2023-10-20 00:00:00-04:00,1143.0456471464004
2023-10-23 00:00:00-04:00,1147.5302078642028
2023-10-24 00:00:00-04:00,1124.1063928305725
2023-10-25 00:00:00-04:00,1121.533390092235
2023-10-26 00:00:00-04:00,1131.986751361629
2023-10-27 00:00:00-04:00,1123.2024835386462
2023-10-30 00:00:00-04:00,1127.400280027231
2023-10-31 00:00:00-04:00,1131.1001286699247
2023-11-01 00:00:00-04:00,1163.434885602812
2023-11-02 00:00:00-04:00,1193.742195352624
2023-11-03 00:00:00-04:00,1234.3524312776074
2023-11-06 00:00:00-05:00,1239.1914868733645
2023-11-07 00:00:00-05:00,1256.8250324019016
2023-11-08 00:00:00-05:00,1237.501986415319
2023-11-09 00:00:00-05:00,1223.9300290246
2023-11-10 00:00:00-05:00,1264.2693307391298
2023-11-13 00:00:00-05:00,1263.1453114290425
